Iteration;Best Fitness;Average Fitness;Worst Fitness
45;99089;68031;61855
46;99089;83770;61855
47;99089;88667;61855
48;99089;81802;61855
49;99089;79001;61855
50;99089;90521;61855
51;99089;77984;61855
52;99089;93091;61855
53;99089;87587;61855
54;99089;70028;61855
55;99089;86711;61855
56;99089;79628;61855
57;99089;83935;61855
58;99089;73136;61855
59;99089;81359;61855
60;99089;80164;61855
61;100643;100643;61855
62;100643;81253;61855
63;100643;90701;61855
64;100643;84747;61855
65;100643;62486;61855
66;100643;87293;61855
67;100643;86218;61855
68;100643;80128;61855
69;100643;95496;61855
70;100643;84748;61855
71;100643;78450;61855
72;100643;87984;61855
73;100643;87337;61855
74;100643;91035;61855
75;100643;86892;61855
76;106831;106831;61855
77;106831;90984;61855
78;106831;72356;61855
79;106831;93987;61855
80;106831;94586;61855
81;106831;86043;61855
82;106831;79022;61855
83;106831;73826;61855
84;106831;92414;61855
85;106831;90446;61855
86;106831;81758;61855
87;106831;99507;61855
88;106831;79923;61855
89;106831;75450;61855
90;106831;81815;61855
91;106831;89798;61855
92;106831;69590;61855
93;106831;86228;61855
94;106831;88311;61855
95;106831;76304;61855
96;106831;84613;61855
97;106831;90502;61855
98;106831;84855;61855
99;106831;87285;61855
100;106831;98265;61855
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;73577;73577;73577
2;73577;73232;73232
3;73577;69596;69596
4;81097;81097;69596
5;83965;83965;69596
6;83965;80341;69596
7;83965;74159;69596
8;83965;82765;69596
9;91804;91804;69596
10;91804;81849;69596
11;91804;72565;69596
12;91804;86187;69596
13;94323;94323;69596
14;94323;77033;69596
15;94323;83892;69596
16;94323;88271;69596
17;94323;85054;69596
18;94323;86903;69596
19;94323;81667;69596
20;94323;94260;69596
21;94323;93075;69596
22;94323;76531;69596
23;94323;85890;69596
24;94323;69908;69596
25;94323;76233;69596
26;94323;88333;69596
27;94323;77943;69596
28;94323;65392;65392
29;94323;82372;65392
30;94323;92629;65392
31;94323;75042;65392
32;94323;83198;65392
33;94323;70566;65392
34;94323;73649;65392
35;94323;88480;65392
36;94323;80914;65392
37;94323;77408;65392
38;94323;82722;65392
39;94323;92550;65392
40;94323;93524;65392
41;105409;105409;65392
42;105409;81511;65392
43;105409;88265;65392
44;105409;81915;65392
45;105409;70763;65392
46;105409;75378;65392
47;105409;79171;65392
48;105409;83536;65392
49;105409;79496;65392
50;105409;85454;65392
51;105409;73850;65392
52;105409;87393;65392
53;105409;68437;65392
54;105409;81336;65392
55;105409;96784;65392
56;105409;76802;65392
57;105409;81596;65392
58;105409;90959;65392
59;105409;63620;63620
60;105409;79601;63620
61;105409;67971;63620
62;105409;87036;63620
63;105409;88328;63620
64;105409;80249;63620
65;105409;84514;63620
66;105409;98535;63620
67;105409;99293;63620
68;105409;74764;63620
69;105409;70225;63620
70;105409;73618;63620
71;105409;91328;63620
72;105409;88666;63620
73;105409;73424;63620
74;105409;84893;63620
75;105409;93389;63620
76;105409;80601;63620
77;105409;89556;63620
78;105409;83737;63620
79;105409;80575;63620
80;105409;82912;63620
81;105409;76309;63620
82;105409;79825;63620
83;105409;67644;63620
84;105409;81561;63620
85;105409;90433;63620
86;105409;71951;63620
87;105409;68473;63620
88;105409;89252;63620
89;105409;80444;63620
90;105409;83016;63620
91;105409;78155;63620
92;105409;92490;63620
93;105693;105693;63620
94;105693;83499;63620
95;105693;84555;63620
96;105693;74402;63620
97;105693;75312;63620
98;105693;79548;63620
99;105693;83066;63620
100;105693;80001;63620
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;83323;83323;83323
2;86323;86323;83323
3;86323;84957;83323
4;86323;69278;69278
5;86323;79938;69278
6;86323;83516;69278
7;100953;100953;69278
8;100953;78253;69278
9;100953;75660;69278
10;100953;61581;61581
11;100953;92979;61581
12;100953;97602;61581
13;100953;81898;61581
14;100953;80293;61581
15;100953;90152;61581
16;100953;80527;61581
17;100953;81467;61581
18;100953;90851;61581
19;100953;73033;61581
20;100953;85404;61581
21;100953;74983;61581
22;100953;76108;61581
23;100953;89581;61581
24;100953;63994;61581
25;100953;84284;61581
26;100953;82633;61581
27;100953;85313;61581
28;100953;75470;61581
29;100953;78266;61581
30;100953;75191;61581
31;100953;90110;61581
32;100953;81001;61581
33;100953;91847;61581
34;100953;72302;61581
35;100953;99739;61581
36;100953;80896;61581
37;100953;83608;61581
38;100953;72826;61581
39;100953;96568;61581
40;100953;84938;61581
41;100953;78799;61581
42;100953;87309;61581
43;100953;73424;61581
44;100953;78225;61581
45;100953;93374;61581
46;100953;82634;61581
47;100953;77705;61581
48;100953;63111;61581
49;100953;91817;61581
50;100953;76916;61581
51;100953;78298;61581
52;100953;95107;61581
